Date,Price,Open,High,Low,Vol.,Change %,,,rank,commentCount,likeCount,,,,,type1,value1,,gender,
4-Sep,10080.27,10170.12,10363.36,9977.92,4.63B,-0.92%,201,,23,64,937,,,,,,,,M,
4-Oct,10027.47,10082.04,10270.37,9708.4,5.29B,-0.52%,200,,24,74,889,,,,,,,,F,
4-Nov,10428.02,10028.73,10602.85,10010.15,5.61B,3.99%,199,,25,112,873,,,,,,,,F,
4-Dec,10783.01,10425.8,10868.07,10418.63,5.74B,3.40%,198,,26,82,859,,,,,,,,F,
5-Jan,10489.94,10783.75,10867.39,10368.61,5.30B,-2.72%,197,,27,151,849,,,,,,,,M,
5-Feb,10766.23,10489.72,10853.43,10489.64,5.04B,2.63%,196,,28,130,832,,,,,,,,M,
5-Mar,10503.76,10769.04,10984.46,10396.24,5.82B,-2.44%,195,,29,51,764,,,,,,,,F,
5-Apr,10192.51,10504.57,10568.93,10000.46,5.85B,-2.96%,194,,30,111,755,,,,,,,,F,
5-May,10467.48,10192,10560.81,10075.55,4.84B,2.70%,193,,1,1362,7089,,,,,,,,F,
5-Jun,10274.97,10462.86,10656.29,10253.49,5.03B,-1.84%,192,,2,662,6876,,,,,,,,F,
5-Jul,10640.91,10273.59,10717.73,10175.4,4.82B,3.56%,191,,3,235,5077,,,,,,,,F,
5-Aug,10481.6,10641.78,10719.41,10349.37,5.08B,-1.50%,190,,4,77,3346,,,,,,,,M,
5-Sep,10568.7,10481.44,10701.81,10350.96,5.22B,0.83%,189,,5,92,2435,,,,,,,,F,
5-Oct,10440.07,10569.5,10608.56,10156.46,5.83B,-1.22%,188,,6,118,2186,,,,,,,,F,
5-Nov,10805.87,10437.51,10959.79,10388.76,5.39B,3.50%,187,,7,76,2061,,,,,,,,F,
5-Dec,10717.5,10806.03,10940.34,10709.42,5.22B,-0.82%,186,,8,328,1735,,,,,,,,F,
6-Jan,10864.86,10718.3,11047.76,10661.15,6.43B,1.37%,185,,9,130,1707,,,,,,,,F,
